Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001
"06001400100","14000US06001400100","Census Tract 4001","Census Tract 4001, Alameda County, California","ca","140","00","ACSSF","0002700",,,,,"06","001",,,,"400100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120
"06001400200","14000US06001400200","Census Tract 4002","Census Tract 4002, Alameda County, California","ca","140","00","ACSSF","0002701",,,,,"06","001",,,,"400200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
"06001400300","14000US06001400300","Census Tract 4003","Census Tract 4003, Alameda County, California","ca","140","00","ACSSF","0002702",,,,,"06","001",,,,"400300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5051
"06001400400","14000US06001400400","Census Tract 4004","Census Tract 4004, Alameda County, California","ca","140","00","ACSSF","0002703",,,,,"06","001",,,,"400400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4007
"06001400500","14000US06001400500","Census Tract 4005","Census Tract 4005, Alameda County, California","ca","140","00","ACSSF","0002704",,,,,"06","001",,,,"400500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4124
"06001400600","14000US06001400600","Census Tract 4006","Census Tract 4006, Alameda County, California","ca","140","00","ACSSF","0002705",,,,,"06","001",,,,"400600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745
"06001400700","14000US06001400700","Census Tract 4007","Census Tract 4007, Alameda County, California","ca","140","00","ACSSF","0002706",,,,,"06","001",,,,"400700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5128
"06001400800","14000US06001400800","Census Tract 4008","Census Tract 4008, Alameda County, California","ca","140","00","ACSSF","0002707",,,,,"06","001",,,,"400800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069
"06001400900","14000US06001400900","Census Tract 4009","Census Tract 4009, Alameda County, California","ca","140","00","ACSSF","0002708",,,,,"06","001",,,,"400900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2471
"06001401000","14000US06001401000","Census Tract 4010","Census Tract 4010, Alameda County, California","ca","140","00","ACSSF","0002709",,,,,"06","001",,,,"401000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6133
