Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Households:," Households: Less than $10,000","Households: $10,000 to $14,999"," Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More"
6001400100,14000US06001400100,Census Tract 4001,"Census Tract 4001, Alameda County, California",ca,140,0,ACSSF,2700,6,1,400100,3120,2394,107,0,398,0,34,187,1293,10,7,43,22,14,50,0,0,26,55,25,103,68,64,96,710
6001400200,14000US06001400200,Census Tract 4002,"Census Tract 4002, Alameda County, California",ca,140,0,ACSSF,2701,6,1,400200,2007,1577,52,4,171,0,17,186,847,5,5,0,0,0,13,21,6,14,32,51,61,100,19,130,390
6001400300,14000US06001400300,Census Tract 4003,"Census Tract 4003, Alameda County, California",ca,140,0,ACSSF,2702,6,1,400300,5051,3748,459,0,590,23,134,97,2441,101,87,30,77,39,157,0,75,94,13,155,297,133,78,373,732
6001400400,14000US06001400400,Census Tract 4004,"Census Tract 4004, Alameda County, California",ca,140,0,ACSSF,2703,6,1,400400,4007,2748,291,44,420,0,199,305,1802,48,48,78,49,40,48,42,22,53,50,93,149,116,312,148,506
6001400500,14000US06001400500,Census Tract 4005,"Census Tract 4005, Alameda County, California",ca,140,0,ACSSF,2704,6,1,400500,4124,2036,882,0,446,22,110,628,1606,108,31,24,46,77,54,13,36,59,50,32,173,149,222,236,296
6001400600,14000US06001400600,Census Tract 4006,"Census Tract 4006, Alameda County, California",ca,140,0,ACSSF,2705,6,1,400600,1745,936,375,3,193,15,39,184,673,26,25,5,0,0,35,46,6,7,20,39,39,60,102,121,142
6001400700,14000US06001400700,Census Tract 4007,"Census Tract 4007, Alameda County, California",ca,140,0,ACSSF,2706,6,1,400700,5128,2183,1459,14,329,0,572,571,1951,47,55,101,63,92,95,44,59,66,142,125,272,202,177,188,223
6001400800,14000US06001400800,Census Tract 4008,"Census Tract 4008, Alameda County, California",ca,140,0,ACSSF,2707,6,1,400800,4069,1827,1007,29,618,0,204,384,1652,69,116,32,31,27,220,6,57,33,56,143,197,148,93,130,294
6001400900,14000US06001400900,Census Tract 4009,"Census Tract 4009, Alameda County, California",ca,140,0,ACSSF,2708,6,1,400900,2471,1238,711,61,101,0,207,153,1078,21,122,10,9,67,72,7,27,66,120,91,101,82,63,90,130
6001401000,14000US06001401000,Census Tract 4010,"Census Tract 4010, Alameda County, California",ca,140,0,ACSSF,2709,6,1,401000,6133,2503,1978,10,412,95,542,593,2470,161,168,121,43,111,87,16,131,0,21,208,403,383,231,193,193
6001401100,14000US06001401100,Census Tract 4011,"Census Tract 4011, Alameda County, California",ca,140,0,ACSSF,2710,6,1,401100,4287,2487,361,0,849,12,260,318,2071,66,37,138,38,110,31,28,39,112,95,152,374,279,132,126,314
6001401200,14000US06001401200,Census Tract 4012,"Census Tract 4012, Alameda County, California",ca,140,0,ACSSF,2711,6,1,401200,2619,1772,300,8,301,0,119,119,1230,21,45,15,26,67,20,14,38,45,95,77,157,120,109,166,215
6001401300,14000US06001401300,Census Tract 4013,"Census Tract 4013, Alameda County, California",ca,140,0,ACSSF,2712,6,1,401300,3921,1637,1149,34,663,0,136,302,1827,130,179,44,104,118,107,40,84,42,86,124,205,111,89,170,194
6001401400,14000US06001401400,Census Tract 4014,"Census Tract 4014, Alameda County, California",ca,140,0,ACSSF,2713,6,1,401400,4732,1510,1511,73,570,15,580,473,1598,137,116,59,151,121,102,27,54,59,81,50,215,165,59,36,166
6001401500,14000US06001401500,Census Tract 4015,"Census Tract 4015, Alameda County, California",ca,140,0,ACSSF,2714,6,1,401500,2839,1108,1065,12,129,24,272,229,1142,92,184,53,30,22,27,8,30,6,83,108,96,129,90,55,129
6001401600,14000US06001401600,Census Tract 4016,"Census Tract 4016, Alameda County, California",ca,140,0,ACSSF,2715,6,1,401600,2289,816,822,0,245,21,233,152,896,65,96,39,57,13,61,32,26,32,50,94,67,66,26,83,89
6001401700,14000US06001401700,Census Tract 4017,"Census Tract 4017, Alameda County, California",ca,140,0,ACSSF,2716,6,1,401700,3018,1430,514,0,367,17,414,276,1295,57,34,16,23,24,0,28,24,16,71,126,113,175,231,165,192
6001401800,14000US06001401800,Census Tract 4018,"Census Tract 4018, Alameda County, California",ca,140,0,ACSSF,2717,6,1,401800,1801,654,693,12,99,0,262,81,677,41,50,48,29,39,12,24,5,0,48,86,38,87,41,53,76
6001402200,14000US06001402200,Census Tract 4022,"Census Tract 4022, Alameda County, California",ca,140,0,ACSSF,2718,6,1,402200,2477,829,798,40,405,0,212,193,871,101,79,39,0,24,37,12,17,19,60,75,78,92,47,92,99
6001402400,14000US06001402400,Census Tract 4024,"Census Tract 4024, Alameda County, California",ca,140,0,ACSSF,2719,6,1,402400,2866,786,1453,1,362,10,78,176,1221,142,177,91,77,37,32,56,56,34,39,89,56,62,57,43,173
